uri,title,year,month
media/stories/201808/38775230_2197647577138135_5321352385392541696_n_17969135581028453.jpg,Manoo,2018,Aug
media/stories/201808/38618360_1868572746771794_5249468707465330688_n_17960617522072631.jpg,,2018,Aug
media/stories/201808/38068692_516702485417680_9028412098215936000_n_17906632186219416.jpg,,2018,Aug
media/stories/201808/38638670_2025518281111244_6421154625540459791_n_17953842769118549.mp4,,2018,Aug
media/stories/201808/38886789_211883163015336_4482868610946268144_n_17972372923062341.mp4,,2018,Aug
media/stories/201808/37879383_1952871151399899_356403219515047936_n_17937218932165110.jpg,@edilane_ribeiro01,2018,Aug
media/stories/201807/37627164_120128245584992_2690474388792024673_n_17933029849161770.mp4,,2018,July
media/stories/201807/37890627_445443752610808_5699005518245265408_n_17937659581189809.jpg,Te ame,2018,July
media/stories/201805/38531094_1083873295098025_7107605678658682880_n_17934524659117707.jpg,,2018,May
media/stories/201805/38029466_2099336443660195_5864520346513702912_n_17920295386145819.jpg,Quem estiver me add,2018,May
media/stories/201805/38059707_270364840230378_3794350997514485760_n_17874557347224461.jpg,,2018,May
media/stories/201805/38188205_1911510072238712_3619963393877737472_n_17911813132173484.jpg,,2018,May
media/stories/201805/37972826_295449561005736_5466861251701243904_n_17925844252082885.jpg,,2018,May
media/stories/201804/38702726_511049879336734_6080084961258373120_n_17939290306063795.mp4,,2018,Apr
media/stories/201804/37806582_432816680547008_7555781302633365504_n_17874152884216135.mp4,,2018,Apr
media/stories/201804/38430688_671455623230106_1129812544739868672_n_17860620382240562.mp4,,2018,Apr
media/stories/201804/38616205_965791763581327_6619624138870882304_n_17920777063115599.mp4,,2018,Apr
media/stories/201803/38480087_219565178728790_5559910975139741696_n_17887918411199201.jpg,,2018,March
media/stories/201803/38750852_509857779457385_4211152370723192832_n_17928834166021358.jpg,,2018,March
media/stories/201803/37731836_479991135739648_4106428767260377088_n_17921294839077305.jpg,"O DIA DA MULHER NÃO É PRA DAR ""PARABÉNS """,2018,March
media/stories/201803/38162654_2042649566064351_6149553218297790464_n_17868131956210623.jpg,,2018,March
media/stories/201802/37898534_302656437149497_3783176523402444800_n_17914764589096207.jpg,,2018,March
media/stories/201802/38734711_226220798065167_8210388280512872448_n_17899702483149258.mp4,,2018,Feb
media/stories/201802/37619669_257197251550846_4408110611615973376_n_17908775479084934.jpg,,2018,Feb
media/stories/201802/38096932_207951350064573_2626836310727327744_n_17908908049081093.jpg,,2018,Feb
media/stories/201802/38474560_237069220280509_4658210998258237440_n_17925093607056898.mp4,💕,2018,Feb
media/stories/201802/38081172_1060829780741186_8697658814234624000_n_17897861140177536.jpg,,2018,Feb
media/stories/201802/37855401_223106491740262_4949494993078190080_n_17851672954232220.jpg,SÓ UM POUCO DE BOM SENSO BR,2018,Feb
media/stories/201802/37955025_2047243942259788_6431940330097999872_n_17906618263082292.jpg,,2018,Feb
media/stories/201802/38017561_833632476831474_148048501945663488_n_17924388991043725.jpg,,2018,Feb
media/stories/201802/38691808_511711785966364_6713223678252810240_n_17916128623078360.mp4,BEM CARNAVALESCOS,2018,Feb
media/stories/201802/37860067_717576335277491_8278714114906259456_n_17898906982131580.jpg,#pas,2018,Feb
media/stories/201802/38061653_245139366135721_2837510688593674240_n_17910553621111316.mp4,,2018,Feb
media/stories/201802/38525915_1952311471733042_7496156560880566272_n_17923769392046216.mp4,PROVISORIAMENTE NÃO CANTAREMOS AMOR,2018,Feb
media/stories/201802/38206683_276317109825807_4888641521311547392_n_17897899339186052.mp4,,2018,Feb
media/stories/201802/37863992_2137209583268253_27587674453835776_n_17922805726038796.jpg,"Fazendo propaganda de graça, me patrocina @dedaaladim",2018,Feb
media/stories/201802/38081634_1919568661442533_7293908956093612032_n_17905230811080125.jpg,,2018,Feb
media/stories/201802/37898543_289259444988670_5052549104098344960_n_17891935552173250.jpg,Como ninguém entende?,2018,Feb
media/stories/201802/38445077_271401983450267_3496754427266596864_n_17849033401235283.jpg,,2018,Feb
media/stories/201802/38245439_1029179533912164_5056413986254225408_n_17848478542233468.mp4,,2018,Feb
media/stories/201802/37975701_273825503412095_3120265518313897984_n_17864277142204145.jpg,,2018,Feb
media/stories/201801/38414009_284424982362749_4208795949801144320_n_17916926758064319.mp4,,2018,Feb
media/stories/201801/38188875_514750498974795_4723033423533309952_n_17906436784122353.mp4,,2018,Jan
media/stories/201801/38098733_460905257718131_4515592348586999808_n_17892694903166822.mp4,,2018,Jan
media/stories/201801/38048319_1786942131370835_7415034936580636672_n_17916099700064888.jpg,,2018,Jan
media/stories/201801/38880176_301229660625959_7488489159493943296_n_17847454093236287.mp4,,2018,Jan
media/stories/201801/38291130_383919985471384_4154943480885411840_n_17895139186131355.mp4,Existe música boa e existe Castello Branco,2018,Jan
media/stories/201801/38153479_1517008961778986_4097638433789313024_n_17894607964193753.mp4,,2018,Jan
media/stories/201801/37633914_241384749838734_9151382792926396416_n_17860043893223220.jpg,Ops,2018,Jan
media/stories/201801/37696046_289916971589663_5230589414211584000_n_17891937124164638.jpg,😻 @italoalbuq_  Olá minha sdd de todos os dias  Só pra pontuar mais uma vez todo esse sentimento puro que me torna uma pessoa melhor a cada segundo,2018,Jan
media/stories/201801/38232944_293365401414674_3201689602800746496_n_17919085405063590.jpg,Agora sim faz sentido,2018,Jan
media/stories/201801/38051846_502415340205490_6574343823382544384_n_17906314645110517.jpg,"Ano novo, sonhos antigos",2018,Jan
media/stories/201801/38081209_248156832689074_7522136985557794816_n_17918119558061248.jpg,"Perdoa projeto fitness 2018 Nunca é a intenção não ser saudável  Dessa vez não deu pra pôr em prática a caminhada socrática por o shopping Segue a meta, até porque o ano só começa depois de fevereiro, segundo um famoso pensador",2018,Jan
media/stories/201801/38761596_957816721057857_9077202372647714816_n_17892235249145963.mp4,,2018,Jan
media/stories/201801/38155505_234316140559403_5420983562096607232_n_17918640331023541.mp4,@jeffmoraes,2018,Jan
media/stories/201801/38170699_219698262034389_3491769645273186304_n_17918524840061451.jpg,,2018,Jan
media/stories/201801/37927393_249243639132402_6461193872042098688_n_17905547821098425.mp4,,2018,Jan
media/stories/201801/38235804_255933328465295_2610070128498311168_n_17917556086036269.mp4,,2018,Jan
media/stories/201801/38468128_239278083393642_7092376755419217920_n_17917187659031988.mp4,,2018,Jan
media/stories/201801/37817050_210436739816201_8198348486454804480_n_17918484442057412.jpg,"A qualidade da câmera não é das melhores, mas o criador do espetáculo é incrível",2018,Jan
media/stories/201801/37953276_267585160637839_5231629058290221056_n_17912920816068295.jpg,"""Minha filha vai pedir esmola?"" OLIVEIRA, Mãe.",2018,Jan
media/stories/201801/37950586_271359660310850_2112515037888249856_n_17916169963001914.jpg,Gastar mais tempo com aquilo que te dá lucro emocional e não financeiro é  ter um caso de amor com a vida,2018,Jan
media/stories/201801/38080748_425481261274706_3451431802055426048_n_17857794073203436.jpg,Sobre começar o ano rindo muito,2018,Jan
media/stories/201801/38618401_1179970365477190_2626080512447348736_n_17876317534199217.jpg,,2018,Jan
media/stories/201712/38472972_475417859552337_590160430962311168_n_17915512012041515.jpg,,2017,Dec
media/stories/201712/38672003_264489660824077_5853823678923407360_n_17900793661120990.jpg,"Nenhum setor consome mais água do que a pecuária  Pecuária é a atividade que libera mais metano para o meio ambiente, mais até que indústrias e automóveis  Fadados a morrer no planeta que matamos",2017,Dec
media/stories/201712/37886048_2125829137741756_8878803951911174144_n_17890463326145120.jpg,Amor tem que ser compartilhado pqp,2017,Dec
media/stories/201712/38054889_212570296102112_2639576850174574592_n_17903353465109872.jpg,É a manipulação  comendo de esmola,2017,Dec
media/stories/201712/38718974_1102891493199891_780693624118575104_n_17900615416125706.jpg,"Aprendizado de 2017: um copo de água por dia não basta  Para , 3 litros de água/dia",2017,Dec
media/stories/201712/38261439_1776845165765773_175026827914379264_n_17902556401114699.mp4,,2017,Dec
media/stories/201712/37852870_1981301762160695_3879732353198718976_n_17884518325169428.jpg,,2017,Dec
media/stories/201712/37846312_945107735673242_5197824122322681856_n_17890102627136803.jpg,,2017,Dec
media/stories/201712/38448329_2092241647710208_5971475632163389440_n_17886062284153062.mp4,Olá noite,2017,Dec
media/stories/201712/38537758_278785102904250_7327295630965997568_n_17901122392098453.mp4,"Nada a dizer, só sentir...",2017,Dec
media/stories/201712/37928767_467263453742349_5942957663498272768_n_17908506334067684.jpg,,2017,Dec
media/stories/201712/38628057_854450864754240_1069727932248752128_n_17886257761155334.mp4,,2017,Dec
media/stories/201712/38701012_239949879989237_1215358573765197824_n_17897954047126235.mp4,,2017,Dec
media/stories/201712/37863088_2027259547317014_1689468949734883328_n_17887412803186886.jpg,,2017,Dec
media/stories/201712/38498783_654319381591050_4908724006703595520_n_17912147278027789.mp4,,2017,Dec
media/stories/201811/45773963_333413137471332_3977957293281157531_n_17984016430121784.mp4,"Cause all of me
Loves all of you",2018,Nov
media/stories/201811/46251429_747662108933180_9152240042482343291_n_17973174325176021.mp4,"#tbt dessa saudade  Te amooo, @italoalbuq_",2018,Nov
